freiburg1_xyz
image      depth      pose
0 1305031102.175304    1305031102.160407    1305031102.1758
1 1305031102.211214    1305031102.226738    1305031102.2159
2 1305031102.243211    1305031102.226738    1305031102.2458
3 1305031102.275326    1305031102.262886    1305031102.2758
4 1305031102.311267    1305031102.295279    1305031102.3158
5 1305031102.343233    1305031102.329195    1305031102.3458
6 1305031102.375329    1305031102.363013    1305031102.3758
7 1305031102.411258    1305031102.394772    1305031102.4159
8 1305031102.443271    1305031102.427815    1305031102.4458
9 1305031102.475318    1305031102.462395    1305031102.4758
10 1305031102.511219    1305031102.526330    1305031102.5159
11 1305031102.543220    1305031102.526330    1305031102.5459
12 1305031102.575286    1305031102.562224    1305031102.5759
13 1305031102.611233    1305031102.626818    1305031102.6159
14 1305031102.643265    1305031102.626818    1305031102.6458
15 1305031102.675285    1305031102.663273    1305031102.6759
16 1305031102.711263    1305031102.695165    1305031102.7159
17 1305031102.743234    1305031102.728423    1305031102.7458
18 1305031102.775472    1305031102.763549    1305031102.7758
19 1305031102.811232    1305031102.794978    1305031102.8159
20 1305031102.843290    1305031102.828537    1305031102.8458
21 1305031102.875363    1305031102.862808    1305031102.8758
22 1305031102.911185    1305031102.926851    1305031102.9159
23 1305031102.943229    1305031102.926851    1305031102.9458
24 1305031102.975203    1305031102.962137    1305031102.9759
25 1305031103.011215    1305031103.027881    1305031103.0159
26 1305031103.043227    1305031103.027881    1305031103.0458
27 1305031103.075319    1305031103.062273    1305031103.0758
28 1305031103.111240    1305031103.094040    1305031103.1158
29 1305031103.143318    1305031103.129109    1305031103.1459
30 1305031103.175452    1305031103.162795    1305031103.1758
31 1305031103.211220    1305031103.227845    1305031103.2158
32 1305031103.243216    1305031103.227845    1305031103.2458
33 1305031103.275370    1305031103.262576    1305031103.2758
34 1305031103.311210    1305031103.327550    1305031103.3158
35 1305031103.343223    1305031103.327550    1305031103.3459
36 1305031103.375327    1305031103.362405    1305031103.3759
37 1305031103.411260    1305031103.394162    1305031103.4158
38 1305031103.443280    1305031103.428437    1305031103.4458
39 1305031103.475274    1305031103.463886    1305031103.4759
40 1305031103.511333    1305031103.494472    1305031103.5160
41 1305031103.543444    1305031103.531502    1305031103.5458
42 1305031103.575474    1305031103.562651    1305031103.5759
43 1305031103.611223    1305031103.595310    1305031103.6159
44 1305031103.643445    1305031103.631376    1305031103.6458
45 1305031103.675523    1305031103.663594    1305031103.6758
46 1305031103.711610    1305031103.694695    1305031103.7158
47 1305031103.743326    1305031103.731542    1305031103.7458
48 1305031103.775342    1305031103.762865    1305031103.7758
49 1305031103.811242    1305031103.794329    1305031103.8159
50 1305031103.843251    1305031103.830367    1305031103.8458
51 1305031103.875361    1305031103.862379    1305031103.8758
52 1305031103.911221    1305031103.894237    1305031103.9158
53 1305031103.943211    1305031103.930503    1305031103.9458
54 1305031103.975373    1305031103.962461    1305031103.9758
55 1305031104.011232    1305031103.994365    1305031104.0158
56 1305031104.043249    1305031104.030279    1305031104.0458
57 1305031104.075425    1305031104.062542    1305031104.0759
58 1305031104.111235    1305031104.095305    1305031104.1158
59 1305031104.143230    1305031104.131292    1305031104.1458
60 1305031104.175424    1305031104.163440    1305031104.1758
61 1305031104.211283    1305031104.227247    1305031104.2159
62 1305031104.243196    1305031104.227247    1305031104.2458
63 1305031104.275546    1305031104.263335    1305031104.2759
64 1305031104.311219    1305031104.294957    1305031104.3158
65 1305031104.343342    1305031104.331403    1305031104.3460
66 1305031104.375837    1305031104.363345    1305031104.3758
67 1305031104.411509    1305031104.395019    1305031104.4158
68 1305031104.443288    1305031104.431435    1305031104.4458
69 1305031104.475456    1305031104.463413    1305031104.4758
70 1305031104.511329    1305031104.495673    1305031104.5158
71 1305031104.543368    1305031104.531450    1305031104.5458
72 1305031104.575343    1305031104.563149    1305031104.5758
73 1305031104.611336    1305031104.595033    1305031104.6159
74 1305031104.643243    1305031104.631368    1305031104.6458
75 1305031104.675525    1305031104.659863    1305031104.6759
76 1305031104.711277    1305031104.695185    1305031104.7158
77 1305031104.743280    1305031104.730936    1305031104.7458
78 1305031104.775327    1305031104.763178    1305031104.7758
79 1305031104.811465    1305031104.799499    1305031104.8158
80 1305031104.843258    1305031104.830961    1305031104.8458
81 1305031104.875350    1305031104.863256    1305031104.8758
82 1305031104.911534    1305031104.899165    1305031104.9158
83 1305031104.943262    1305031104.931091    1305031104.9458
84 1305031104.975202    1305031104.959750    1305031104.9759
85 1305031105.011290    1305031104.998342    1305031105.0158
86 1305031105.043373    1305031105.030427    1305031105.0458
87 1305031105.075320    1305031105.062445    1305031105.0758
88 1305031105.111299    1305031105.097639    1305031105.1158
89 1305031105.143106    1305031105.130269    1305031105.1458
90 1305031105.175159    1305031105.159979    1305031105.1758
91 1305031105.211268    1305031105.198212    1305031105.2159
92 1305031105.243270    1305031105.228250    1305031105.2458
93 1305031105.275288    1305031105.262389    1305031105.2758
94 1305031105.311290    1305031105.298501    1305031105.3158
95 1305031105.343302    1305031105.328878    1305031105.3458
96 1305031105.375338    1305031105.362286    1305031105.3758
97 1305031105.411286    1305031105.398191    1305031105.4158
98 1305031105.443316    1305031105.430336    1305031105.4458
99 1305031105.475280    1305031105.461421    1305031105.4761
100 1305031105.511332    1305031105.497931    1305031105.5158
101 1305031105.543282    1305031105.529583    1305031105.5459
102 1305031105.575449    1305031105.562109    1305031105.5758
103 1305031105.611378    1305031105.597193    1305031105.6158
104 1305031105.643273    1305031105.659104    1305031105.6458
105 1305031105.675166    1305031105.659104    1305031105.6759
106 1305031105.711309    1305031105.698235    1305031105.7158
107 1305031105.743312    1305031105.730336    1305031105.7459
108 1305031105.775339    1305031105.762384    1305031105.7758
109 1305031105.811283    1305031105.798056    1305031105.8158
110 1305031105.843271    1305031105.830008    1305031105.8458
111 1305031105.875337    1305031105.862238    1305031105.8758
112 1305031105.911262    1305031105.898018    1305031105.9159
113 1305031105.943272    1305031105.929855    1305031105.9458
114 1305031105.975329    1305031105.966193    1305031105.9758
115 1305031106.011285    1305031105.998271    1305031106.0158
116 1305031106.043355    1305031106.030147    1305031106.0458
117 1305031106.075330    1305031106.066060    1305031106.0758
118 1305031106.111327    1305031106.096295    1305031106.1158
119 1305031106.143355    1305031106.130445    1305031106.1458
120 1305031106.175534    1305031106.166330    1305031106.1758
121 1305031106.211275    1305031106.195074    1305031106.2158
122 1305031106.243267    1305031106.230058    1305031106.2458
123 1305031106.276385    1305031106.265976    1305031106.2758
124 1305031106.311238    1305031106.298174    1305031106.3158
125 1305031106.343258    1305031106.330215    1305031106.3458
126 1305031106.375388    1305031106.366158    1305031106.3758
127 1305031106.411320    1305031106.398281    1305031106.4158
128 1305031106.443278    1305031106.430639    1305031106.4458
